age_band,savings_balance,monthly_surplus,risk_appetite_score,investment_experience,account_tenure_months,lump_sum_amount,regular_saving_amount,pension_contribution_pct,pension_pot_value,years_to_retirement,months_since_review,known_trait_count,conversation_turn,employment_status,channel,segment_id,situation_id,suggestion_id,record_id,party_ref,data_split
2.0,5116.78,599.82,2.42,1.0,11.0,,150.17,,,,,9.0,3.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,6c832b60-216d-435c-ba97-56f3197b8f37,ML-00020,TRAIN
3.0,,380.14,2.58,1.0,21.0,,,,,,,9.0,3.0,1.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,0ff037b9-afd2-4129-87f7-2250b7db2eed,ML-00021,TRAIN
2.0,,,,0.0,,,,,,,,8.0,2.0,2.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,890782f9-1168-4798-80fd-421ea7eab2b6,ML-00022,TRAIN
2.0,4281.25,361.36,3.41,1.0,,,,8.51,,24.0,,9.0,3.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,b83fdb30-2159-4e4c-ae6e-14552bea4c44,ML-00023,TRAIN
2.0,11473.1,132.22,1.62,1.0,,,,6.24,,10.0,,9.0,3.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,540a1cce-7333-4138-904f-421ac3b2ac02,ML-00024,TRAIN
3.0,,680.88,2.58,2.0,,,,,107178.37,,,8.0,2.0,2.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,da07dc56-a459-40ac-b292-702aedf06efb,ML-00025,TRAIN
5.0,,487.58,1.66,0.0,,,,,11235.59,4.0,,10.0,4.0,2.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,4a914c3c-c6de-4498-8674-3516a754331e,ML-00026,TRAIN
5.0,,380.73,,0.0,,,,10.63,,,,6.0,0.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,b498cd09-9dbb-4591-83ae-87044e34d939,ML-00027,TRAIN
4.0,13919.72,,2.46,1.0,,,,0.0,60184.25,3.0,25.0,9.0,3.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,1d1a5c01-f4b8-4f31-b744-5eb02a5eeb74,ML-00028,TRAIN
3.0,50196.75,404.8,2.5,1.0,44.0,,,,,,,9.0,3.0,2.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,02380a1e-fbe6-4e63-bd83-c15f715b0636,ML-00029,TRAIN
2.0,6542.02,345.83,2.89,0.0,22.0,,,,,,,8.0,2.0,2.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,a545662b-2e1e-4e3f-8119-64307da135c4,ML-00030,TRAIN
2.0,1514.81,704.23,,1.0,46.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,0bdd2ebc-b1af-4605-94c0-04b24ae9b294,ML-00031,TRAIN
2.0,17574.07,365.07,5.0,1.0,38.0,,,,,,,9.0,3.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,dc5682c1-a302-4f1b-aaac-7900cb158333,ML-00032,TRAIN
2.0,3136.34,100.0,2.57,3.0,33.0,,,,,,,10.0,4.0,2.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,06b63b7f-0e5c-4515-afc7-4ad165c26039,ML-00033,TRAIN
2.0,,,1.28,0.0,26.0,,105.61,,,,,10.0,4.0,2.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,9e9f37a5-8e39-4c3e-8cea-88943623dae4,ML-00034,TRAIN
4.0,55581.88,,2.64,1.0,53.0,,,,,,,10.0,4.0,3.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,0335b6b4-fa24-4eff-ab92-5e3087c04b20,ML-00035,TRAIN
2.0,3882.97,210.1,2.28,0.0,,,,6.13,,21.0,,6.0,0.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,852b21d1-1dd4-4272-a312-682400674f52,ML-00036,TRAIN
2.0,3786.91,340.01,2.27,0.0,,,,13.04,,8.0,,11.0,5.0,1.0,1.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,f5b0a4a3-10c2-4990-a836-9322a48727f8,ML-00037,TRAIN
2.0,,595.93,2.04,1.0,,,,8.74,,25.0,,7.0,1.0,2.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,ffcaa2d4-2da7-4953-b04a-e82e03d135be,ML-00038,TRAIN
3.0,21856.17,241.99,2.72,0.0,,,,9.91,96067.03,3.0,,11.0,5.0,3.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,74b6362c-568d-4fb4-ba32-50e48aea726a,ML-00039,TRAIN
4.0,840.55,347.32,,0.0,,,,,11772.77,0.0,,6.0,0.0,2.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,97b7e12c-d0c6-42cc-b577-ecbe0b8020d4,ML-00040,TRAIN
5.0,,593.44,2.24,0.0,,,,,,3.0,,7.0,1.0,3.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,557171e8-2476-42c8-9d60-74cba607dd3d,ML-00041,TRAIN
5.0,500.0,,2.82,1.0,,,,0.0,28607.02,2.0,28.0,9.0,3.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,af826bf0-6fb4-42ec-91bc-f3a0d5f60a3d,ML-00042,TRAIN
3.0,,504.47,3.6,1.0,22.0,,,,,,,9.0,3.0,1.0,1.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,9504dfa4-8863-42ed-8cc7-c2e68fab3075,ML-00043,TRAIN
1.0,3014.58,727.37,2.63,0.0,22.0,,,,,,,10.0,4.0,1.0,1.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,9ab547cd-82e2-4be0-8d4e-61817d5502ba,ML-00044,TRAIN
1.0,3706.92,436.57,4.22,1.0,36.0,,,,,,,7.0,1.0,3.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,8e7de430-cfb4-4c4d-aea8-54d85774caa2,ML-00045,TRAIN
3.0,21065.13,,1.5,0.0,32.0,22720.13,,,,,,9.0,3.0,2.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,a666c519-75a5-4503-abf6-1ee64da752d2,ML-00046,TRAIN
1.0,19150.93,345.69,2.86,1.0,32.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,967357d9-2423-4ccf-8051-9f41bc8d48df,ML-00047,TRAIN
1.0,,466.56,2.11,0.0,17.0,,166.45,,,,,8.0,2.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,955392a3-9b65-4207-9284-4e40cf22057f,ML-00048,TRAIN
2.0,34421.82,542.87,2.51,2.0,61.0,,,,,,,10.0,4.0,1.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,bcf1941d-c095-40a4-a313-ee85deddafc2,ML-00049,TRAIN
4.0,5878.38,,2.48,0.0,,,,6.48,,14.0,,9.0,3.0,2.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,db679b37-c1df-4481-8e14-cc21f49a7e6f,ML-00050,TRAIN
1.0,7088.87,53.38,,1.0,,,,8.86,,,,8.0,2.0,2.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,eb5f90d2-e977-48e5-a956-092e67055f37,ML-00051,TRAIN
3.0,0.0,,,0.0,,,,4.78,,13.0,,6.0,0.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,6b88e5e3-05de-4bb0-95e7-d86e8558ff2e,ML-00052,TRAIN
4.0,27807.44,1012.32,2.04,1.0,,,,8.96,56849.9,1.0,,11.0,5.0,2.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,a10c2452-78ba-4c34-8dbd-bb14c1405470,ML-00053,TRAIN
4.0,659.21,415.83,1.38,1.0,,,,,12377.49,4.0,,6.0,0.0,3.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,94441e71-fba5-463d-af8a-dd7e64fe292a,ML-00054,TRAIN
4.0,37236.14,448.69,,0.0,,,,17.53,,10.0,,8.0,2.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,993050f4-f731-457b-b7d2-9b6c872a3c5c,ML-00055,TRAIN
4.0,13205.32,221.23,,1.0,,,,,,2.0,29.0,7.0,1.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,086fcdf8-2412-44de-95d8-5a4a234aeefb,ML-00056,TRAIN
1.0,14382.25,446.7,2.98,0.0,29.0,,,,,,,7.0,1.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,6eb1950e-8e99-4e7e-85ab-df9118c588ec,ML-00057,TRAIN
1.0,4137.39,566.76,2.89,0.0,16.0,,,,,,,11.0,5.0,2.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,81f41011-f1b8-42be-a2b7-2634615868b2,ML-00058,TRAIN
2.0,1013.51,889.45,2.01,0.0,27.0,,,,,,,9.0,3.0,3.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,8a73d844-ed0b-4eed-beb2-4245edd90e7b,ML-00059,TRAIN
3.0,5353.14,1019.49,4.62,2.0,30.0,23148.82,,,,,,6.0,0.0,3.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,aef13dad-7de6-4217-a8b3-1c4f08f6e59d,ML-00060,TRAIN
2.0,,467.95,,3.0,24.0,,,,,,,8.0,2.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,d36af675-a01b-42ea-acb0-ca5e7d3c92b8,ML-00061,TRAIN
1.0,2762.36,434.39,2.6,1.0,6.0,,101.13,,,,,12.0,6.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,d4ad39b5-21bf-4693-ab8d-5736472354ba,ML-00062,TRAIN
2.0,22347.13,789.24,1.87,2.0,31.0,,,,,,,6.0,0.0,3.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,24e81656-0977-46db-b35a-76b055663ba6,ML-00063,TRAIN
4.0,1316.38,633.47,2.81,1.0,,,,4.81,,6.0,,11.0,5.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,76444afa-2127-4630-8e0f-4453fa97f8ce,ML-00064,TRAIN
1.0,4401.78,862.77,3.42,0.0,,,,5.98,,30.0,,9.0,3.0,2.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,d3c1d73e-c746-4fd2-a266-9cd02ccfa3f7,ML-00065,TRAIN
3.0,16943.46,,3.45,0.0,,,,,,,,6.0,0.0,2.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,14836933-a2df-4780-8a9d-2d82423fc81a,ML-00066,TRAIN
4.0,4148.73,640.2,3.52,0.0,,,,7.84,28764.89,,,7.0,1.0,3.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,33d36c26-c315-474e-8fee-104707fa622a,ML-00067,TRAIN
4.0,3777.22,432.04,2.49,0.0,,,,,23025.16,0.0,,9.0,3.0,1.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,4b7a5892-e8a7-443c-9835-932a8ff3abc3,ML-00068,TRAIN
5.0,,424.44,,1.0,,,,,76908.21,,,8.0,2.0,2.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,a09f1538-815f-4b84-a607-d6f39f538879,ML-00069,TRAIN
5.0,500.0,788.98,2.47,1.0,,,,0.0,59317.3,4.0,,9.0,3.0,3.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,fd820026-d8bc-4594-acf2-4bb0e8a2cba1,ML-00070,TRAIN
4.0,25325.8,427.41,,2.0,42.0,,,,,,,6.0,0.0,3.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,e191d3c7-a54e-4999-8e11-b6732c1876e1,ML-00071,TRAIN
2.0,4661.48,,2.83,0.0,26.0,,,,,,,8.0,2.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,de5d6b4e-3763-4c4e-afd1-344db00e950e,ML-00072,TRAIN
2.0,4791.03,539.02,4.27,2.0,20.0,,,,,,,7.0,1.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,68e5337f-23fe-4cd4-979a-525aa3fb36e0,ML-00073,TRAIN
2.0,,,3.12,0.0,30.0,22024.52,,,,,,8.0,2.0,1.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,1c49c2f7-778d-4e8a-9720-7c0a60fda4e6,ML-00074,TRAIN
2.0,14019.22,,,1.0,39.0,,,,,,,8.0,2.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,553665a7-5cbf-44f8-9514-8b62383cdbcd,ML-00075,TRAIN
3.0,6716.59,452.09,1.08,0.0,28.0,,,,,,,9.0,3.0,2.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,5932d596-8f52-42bd-80a5-8cbf902e040c,ML-00076,TRAIN
2.0,76797.47,100.0,3.69,1.0,46.0,,,,,,,9.0,3.0,3.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,13fcf6cb-ed54-4de8-b54a-343e665f6dc3,ML-00077,TRAIN
4.0,7055.06,50.0,2.16,1.0,,,,,,18.0,,6.0,0.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,ebbbb628-3495-490b-b477-4ec50bb70e40,ML-00078,TRAIN
3.0,5494.61,50.0,2.54,0.0,,,,7.35,,,,6.0,0.0,1.0,1.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,19720188-e71b-4f11-ae4c-621d9f595f73,ML-00079,TRAIN
2.0,7418.88,707.67,1.0,1.0,,,,,,,,7.0,1.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,52647e7b-c3dd-493a-a32e-c25a72a09c27,ML-00080,TRAIN
5.0,28444.03,426.76,,1.0,,,,,,5.0,,8.0,2.0,2.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,bde229e3-74b4-4d71-a8ea-a40f384bdf89,ML-00081,TRAIN
4.0,500.0,226.94,2.33,1.0,,,,,15254.4,1.0,,9.0,3.0,3.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,269aed6d-0694-4493-b1c8-4722d7e227e2,ML-00082,TRAIN
4.0,9092.54,460.3,1.04,0.0,,,,9.39,7118.84,5.0,,9.0,3.0,2.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,2ee7a070-3172-4e89-b026-3c6c0e5dbe09,ML-00083,TRAIN
4.0,,,2.14,2.0,,,,,84040.38,,,8.0,2.0,3.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,141424e4-d53f-415b-a2be-7b56f688fd3a,ML-00084,TRAIN
1.0,26738.49,443.45,2.34,1.0,29.0,,,,,,,8.0,2.0,1.0,1.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,d0e21e4e-7262-446b-92ef-3ad72207422e,ML-00085,TRAIN
1.0,1951.74,341.87,1.66,0.0,12.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,7b9a712f-8eee-4b3b-a57d-cf7d9970445c,ML-00086,TRAIN
2.0,4514.42,226.86,1.75,0.0,48.0,,,,,,,9.0,3.0,1.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,7ec2fd50-1b30-4e2f-9233-ac743226649b,ML-00087,TRAIN
1.0,17737.03,423.01,3.22,1.0,22.0,27498.76,,,,,,7.0,1.0,3.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,d032ba10-3f15-48e1-a394-a33a5c14e8f4,ML-00088,TRAIN
2.0,21183.36,,1.31,2.0,26.0,,,,,,,8.0,2.0,1.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,ac8a15e7-3373-44b8-a26a-e66862c00399,ML-00089,TRAIN
1.0,,526.21,,0.0,18.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,af5c10fe-2100-49fe-9198-4c99b19d1d6a,ML-00090,TRAIN
4.0,59201.54,336.35,,1.0,29.0,,,,,,,6.0,0.0,3.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,f715b5fa-2b8a-426f-86e7-6df2fe9c46f7,ML-00091,TRAIN
3.0,,437.17,,1.0,,,,5.07,,,,7.0,1.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,af77f132-3f52-4122-8ed0-870258af7b25,ML-00092,TRAIN
1.0,2624.05,584.52,2.67,0.0,,,,5.35,,22.0,,12.0,6.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,7413fa59-aa85-4c04-ba78-0124b33c3cd4,ML-00093,TRAIN
4.0,9237.51,545.54,2.73,0.0,,,,,,11.0,,8.0,2.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,c5ca6973-98a0-4a4a-9b9c-9c8b16ed597e,ML-00094,TRAIN
3.0,17050.44,335.14,2.54,1.0,,,,4.86,9608.51,9.0,,11.0,5.0,1.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,8505cb62-fb95-441e-942d-bb4ba95e772c,ML-00095,TRAIN
4.0,8808.93,,,1.0,,,,,21361.93,,,8.0,2.0,3.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,23c60861-38ac-4216-b93a-a373d7a6e697,ML-00096,TRAIN
4.0,41524.78,393.35,1.22,1.0,,,,9.78,17473.76,0.0,,11.0,5.0,2.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,ac534ec2-f2b5-4972-a858-72cdaf45142e,ML-00097,TRAIN
4.0,21854.35,316.69,1.56,2.0,,,,0.0,67318.97,4.0,21.0,12.0,6.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,dcdf958c-7662-44e6-8901-e9140263f674,ML-00098,TRAIN
3.0,25872.63,516.69,2.32,1.0,23.0,,,,,,,7.0,1.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,caad94a1-79a6-47dd-bb1b-0303c62b0927,ML-00099,TRAIN
1.0,,,2.14,0.0,26.0,,,,,,,10.0,4.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,91b91fa4-83d7-4783-a152-ffd83e2ccd11,ML-00100,TRAIN
3.0,2888.23,442.91,2.81,1.0,18.0,,,,,,,11.0,5.0,1.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,e12b2128-8bc7-4b9c-92c5-f67c942f7908,ML-00101,TRAIN
2.0,35348.48,532.23,3.96,2.0,13.0,,,,,,,7.0,1.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,14f133a5-2adc-4a27-9afd-ad7ff21e9207,ML-00102,TRAIN
3.0,1000.0,,,2.0,21.0,,,,,,,8.0,2.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,42f8b6bd-e30a-49df-b0d9-65982d4429c4,ML-00103,TRAIN
1.0,6896.2,336.8,3.24,0.0,21.0,,185.89,,,,,11.0,5.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,3f426542-d809-422c-8f0e-02c28abc2199,ML-00104,TRAIN
3.0,34421.93,366.65,2.26,2.0,68.0,,,,,,,11.0,5.0,1.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,cc23db48-4162-45d2-bd70-85f39281ba49,ML-00105,TRAIN
2.0,,,3.16,0.0,,,,6.63,,6.0,,10.0,4.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,b4a3cacd-2753-41c7-b341-bc4910f1b503,ML-00106,TRAIN
1.0,7047.96,417.92,2.88,1.0,,,,10.09,,20.0,,11.0,5.0,2.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,c9c38cf5-4d49-41eb-86fe-a84a93020d37,ML-00107,TRAIN
3.0,13514.57,670.06,1.45,0.0,,,,9.2,,28.0,,9.0,3.0,1.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,9979ffcb-11c5-4419-948e-1e55ea6aa0a5,ML-00108,TRAIN
5.0,16756.04,584.11,,1.0,,,,8.66,,,,7.0,1.0,3.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,9b865997-64ea-4497-8574-dd91ff7d1a2f,ML-00109,TRAIN
4.0,3554.57,270.44,3.13,0.0,,,,,20830.89,3.0,,11.0,5.0,2.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,917d627b-a97a-4ca0-bdd7-24d6c6406a3e,ML-00110,TRAIN
5.0,7214.73,335.09,,1.0,,,,,69449.04,,,6.0,0.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,701303d4-1716-4f1b-bcd1-1bca5cf8a1fc,ML-00111,TRAIN
5.0,10861.62,252.53,2.0,2.0,,,,0.0,24633.34,2.0,26.0,11.0,5.0,3.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,488189e4-fa7e-4d13-a0c4-91c111b5e8ce,ML-00112,TRAIN
2.0,29794.0,,3.48,1.0,35.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,00db77ae-11a4-418f-ad12-30b8c42c01e1,ML-00113,TRAIN
1.0,7117.33,412.29,2.32,0.0,7.0,,,,,,,13.0,7.0,1.0,1.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,5ba70efe-64d2-40c2-8a54-d30c41227ea7,ML-00114,TRAIN
2.0,500.0,383.16,1.92,2.0,20.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,decff51c-749a-46fa-a4ee-044de0b5e04f,ML-00115,TRAIN
2.0,21958.39,457.18,2.6,1.0,29.0,19258.51,,,,,,11.0,5.0,2.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,303a65d8-a4f6-4f38-9298-791e678d98dd,ML-00116,TRAIN
2.0,,526.24,,3.0,46.0,,,,,,,7.0,1.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,5adaaf38-4439-4b7c-820f-5f9430c0b496,ML-00117,TRAIN
3.0,,520.37,1.86,1.0,37.0,,58.36,,,,,10.0,4.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,d8ec09c3-191b-4eee-a58f-6e899bfdaaeb,ML-00118,TRAIN
4.0,47031.16,,1.42,0.0,48.0,,,,,,,6.0,0.0,2.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,bce1ff17-59b3-4ebd-aecf-5f10c8e5551f,ML-00119,TRAIN
2.0,,,,1.0,,,,,,17.0,,7.0,1.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,b28c2e3d-a8b7-4f10-b24f-cb9ef2ae7fc7,ML-00120,TRAIN
