record_id,party_ref,session_id,situation_id,segment_id,suggestion_id,product_type,CHAR_P1A_I1_age_band,CHAR_P1B_I1_vulnerability,CHAR_P1C_I1_employment,CHAR_F2A_I1_monthly_surplus,CHAR_F2B_I1_savings_balance,CHAR_F2I_I1_has_investment,CHAR_F2G_I1_high_cost_debt,CHAR_F2H_I1_financial_hardship,CHAR_F2J_I1_isa_sub_this_year,CHAR_F2K_I1_within_90d_tax_yr,CHAR_F2L_I1_account_tenure_mo,CHAR_F2M_I1_lump_sum,CHAR_F2N_I1_months_inactive,CHAR_F2O_I1_regular_saving,CHAR_F2P_I1_consec_months,CHAR_F2Q_I1_days_to_maturity,CHAR_F2R_I1_reinvest_instr,CHAR_P2A_I1_contrib_pct,CHAR_P2B_I1_active_dc,CHAR_P2C_I1_shortfall_flag,CHAR_P2D_I1_yrs_to_ret,CHAR_P2E_I1_default_fund,CHAR_P2F_I1_no_selection,CHAR_P2G_I1_recent_engage,CHAR_P2H_I1_life_event,CHAR_P2I_I1_access_plan,CHAR_P2J_I1_in_drawdown,CHAR_P2K_I1_db_transfer,CHAR_P2L_I1_pot_value,CHAR_P2M_I1_annuity_interest,CHAR_P2N_I1_months_review,CHAR_P2O_I1_cash_drag,CHAR_P2P_I1_recent_adviser,CHAR_B3A_I1_risk_appetite,CHAR_B3B_I1_invest_exp,CHAR_B3C_I1_channel,ml_confidence,ml_model_version,gap_fill_turns,graph_completeness,fca_ref,rule_R_001_outcome,rule_R_002_outcome,rule_R_003_outcome,rule_R_004_outcome,rule_R_005_outcome,rule_R_006_outcome,rule_R_007_outcome,rule_R_008_outcome,rule_R_009_outcome,rule_R_010_outcome,rule_R_011_outcome,rule_R_012_outcome,gate_disposition
9d491321-2f0b-46d5-94d7-b60a75b36073,PARTY-00011,b17b23b3-dc9b-4a69-a256-80a6e76ed615,SIT-DEC-001,SEG-DEC-001,SUG-DEC-001,DECUMULATION_PATHWAY_DIRECTION,4,False,2,647.5,5663.82,False,False,False,,,44,,,,,,,7.15,True,,8.0,,,,,False,False,False,89410.78,,,,,1.0,1,0,0.9,2.0.0,4,0.92,PS25/22-§SIT-DEC-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
e3590ccd-f6b8-4fbe-bd4b-cb9551ab6cf3,PARTY-00012,a7f748ef-0597-4fa1-a013-25aeb81cac81,SIT-DEC-002,SEG-DEC-002,SUG-DEC-002,DC_PENSION_SMALL_POT_ACCESS,4,False,1,270.58,9163.38,False,False,False,,,48,,,,,,,,True,,5.0,,,,,False,False,False,14563.87,,,,,1.18,0,0,0.51,2.0.0,4,0.99,PS25/22-§SIT-DEC-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,PASS,PASS,HUMAN_REVIEW
ddc1f2f3-95e9-47f5-8a0d-922182f62917,PARTY-00013,18913985-187b-4618-9d05-737714c07680,SIT-DEC-003,SEG-DEC-003,SUG-DEC-003,ANNUITY_FEATURES_REFERRAL,4,False,3,663.39,2168.55,False,False,False,,,36,,,,,,,7.22,True,,3.0,,,,,,,False,10582.85,True,,,,2.51,1,1,0.86,2.0.0,1,0.9,PS25/22-§SIT-DEC-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
69a49d20-f21f-4fae-9ad2-12c686c62e1d,PARTY-00014,98c6b10f-e8db-4e58-a1ad-948d8d54a90b,SIT-DEC-004,SEG-DEC-004,SUG-DEC-004,DRAWDOWN_REVIEW_PROMPT,4,False,2,799.35,33310.9,False,False,False,,,55,,,,,,,0.0,True,,1.0,,,,,,True,,10000.0,,25.0,True,False,1.55,2,1,0.85,2.0.0,3,0.93,PS25/22-§SIT-DEC-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
a7214c19-f5ff-4e2b-9849-ab8b6c9858b7,PARTY-00015,c8d81c39-7d64-4fb2-bee0-cb4ccba18c65,SIT-INV-001,SEG-INV-001,SUG-INV-001,STOCKS_SHARES_ISA,3,False,3,518.27,15572.15,False,False,False,,,12,,,,,,,,,,,,,,,,,,,,,,,2.41,0,0,0.87,2.0.0,6,0.95,PS25/22-§SIT-INV-001,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
01a9a250-6ef2-4f1b-96bd-b10777657c84,PARTY-00016,12b418c4-b44a-43ee-a261-591c86772451,SIT-INV-002,SEG-INV-002,SUG-INV-002,STOCKS_SHARES_ISA_REGULAR,2,False,1,202.26,2139.53,False,False,False,,,12,,,,,,,,,,,,,,,,,,,,,,,3.69,0,1,0.82,2.0.0,5,0.9,PS25/22-§SIT-INV-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
93e7f80a-6cc7-4bf2-ab63-2b4987b86399,PARTY-00017,34fc0ab6-3e3e-4d8d-bf17-f830365062f0,SIT-INV-003,SEG-INV-003,SUG-INV-003,STOCKS_SHARES_ISA_TAX_YEAR,3,False,2,418.67,4377.71,False,False,False,False,True,29,,,,,,,,,,,,,,,,,,,,,,,2.09,1,0,0.8,2.0.0,2,0.95,PS25/22-§SIT-INV-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
9f60ab61-9970-44ec-b3c2-388b13d51530,PARTY-00018,3aa73141-5b08-4752-87f0-968bd110d4b3,SIT-INV-004,SEG-INV-004,SUG-INV-004,ISA_AND_GIA_LUMP_SUM,4,False,1,570.34,17286.61,False,False,False,,,39,24193.83,,,,,,,,,,,,,,,,,,,,,,2.63,0,0,0.94,2.0.0,4,1.0,PS25/22-§SIT-INV-004,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
d6a5738f-2008-4b9c-8b04-adec9b2dc037,PARTY-00019,8866094e-ce87-4dd5-9a81-e6c03ea8b129,SIT-INV-005,SEG-INV-005,SUG-INV-005,REVIEW_PROMPT_DO_NOTHING,3,False,2,176.37,25207.42,True,False,False,,,56,,16.0,,,,,,,,,,,,,,,,,,,,,2.16,1,0,0.96,2.0.0,2,0.9,PS25/22-§SIT-INV-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
4bd70538-14a8-4874-a089-7f5288653213,PARTY-00020,0b58c5c4-55a2-436f-b78f-60bf74704aa3,SIT-INV-006,SEG-INV-006,SUG-INV-006,STOCKS_SHARES_ISA_REGULAR_ADDITION,2,True,1,320.81,4984.63,False,False,False,,,18,,,150.25,14.0,,,,,,,,,,,,,,,,,,,2.36,0,0,0.91,2.0.0,1,0.94,PS25/22-§SIT-INV-006,PASS,PASS,GATE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW
5a945bfa-54a0-4662-9eb3-3e6645e2bfb6,PARTY-00021,322870f9-8fbd-4697-b35a-0888d8b1bbf9,SIT-SD-001,SEG-SD-001,SUG-SD-001,MATURITY_REINVESTMENT_OPTIONS,2,False,3,436.55,28317.53,False,False,False,,,53,,,,,10.0,False,,,,,,,,,,,,,,,,,2.52,1,0,0.84,2.0.0,3,0.98,PS25/22-§SIT-SD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
dd831beb-9385-41ed-b9f6-3b08190e7a4f,PARTY-00022,74847263-7567-4976-b9b9-6b6933ff12f9,SIT-PEN-001,SEG-PEN-001,SUG-PEN-001,DC_PENSION_CONTRIBUTION_INCREASE,3,False,1,422.19,2216.23,False,False,False,,,32,,,,,,,6.36,True,True,23.0,,,,,,,,,,,,,1.63,1,0,0.88,2.0.0,4,1.0,PS25/22-§SIT-PEN-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
4938ecc0-d89c-4537-9ed1-0151fb0ce651,PARTY-00023,2a31eb59-8066-46c8-b531-0bcff004eca7,SIT-PEN-002,SEG-PEN-002,SUG-PEN-002,DC_PENSION_FUND_SWITCH,4,False,2,348.27,0.0,False,False,False,,,27,,,,,,,8.63,True,,29.0,True,True,False,,,,,,,,,,1.79,0,0,0.46,2.0.0,1,0.93,PS25/22-§SIT-PEN-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,PASS,PASS,HUMAN_REVIEW
3706be30-a6ad-4ec7-818d-416c3039c970,PARTY-00024,9af29d22-4b2c-4550-bb5a-0db324c8d30c,SIT-PEN-003,SEG-PEN-003,SUG-PEN-003,DC_PENSION_CONTRIBUTION_REVIEW,2,False,2,992.21,3882.24,False,False,False,,,21,,,,,,,7.81,True,,6.0,,,,True,,,,,,,,,1.33,0,0,0.99,2.0.0,2,0.9,PS25/22-§SIT-PEN-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
8a7d5b6a-1995-46f6-89b9-c87e9e8ee14a,PARTY-00025,fabe3556-1501-4d25-880d-4dd779ee5eb7,SIT-DEC-001,SEG-DEC-001,SUG-DEC-001,DECUMULATION_PATHWAY_DIRECTION,5,False,2,265.69,11317.51,False,False,False,,,54,,,,,,,15.19,True,,5.0,,,,,False,False,False,51415.28,,,,,3.2,1,1,0.9,2.0.0,3,0.93,PS25/22-§SIT-DEC-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
1371fafc-f3ad-4055-b47b-eb25f276f64e,PARTY-00026,784fccb6-0602-451d-b45e-583132f25644,SIT-DEC-002,SEG-DEC-002,SUG-DEC-002,DC_PENSION_SMALL_POT_ACCESS,4,True,3,310.04,9160.85,False,False,False,,,38,,,,,,,,True,,3.0,,,,,False,False,False,22076.29,,,,,2.12,1,0,0.89,2.0.0,4,0.94,PS25/22-§SIT-DEC-002,PASS,PASS,GATE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,HUMAN_REVIEW
aa0e05c1-d32b-4f22-85ab-cfd9cddb0788,PARTY-00027,16bf0297-4ff4-44cc-996d-0da24ee51fb8,SIT-DEC-003,SEG-DEC-003,SUG-DEC-003,ANNUITY_FEATURES_REFERRAL,4,True,3,382.49,51397.52,False,False,False,,,76,,,,,,,11.16,True,,2.0,,,,,,,False,17189.71,True,,,,2.95,1,0,0.89,2.0.0,4,0.87,PS25/22-§SIT-DEC-003,PASS,PASS,GATE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,HUMAN_REVIEW
b8a7e946-2fa0-425f-b11f-c820ca96985c,PARTY-00028,4f2fd433-e40b-4ae3-82bc-5507cd3ad44d,SIT-DEC-004,SEG-DEC-004,SUG-DEC-004,DRAWDOWN_REVIEW_PROMPT,4,False,2,177.91,6227.8,False,False,False,,,52,,,,,,,0.0,True,,3.0,,,,,,True,,46234.86,,23.0,True,False,2.0,1,1,0.88,2.0.0,6,0.85,PS25/22-§SIT-DEC-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
3dea72cd-026e-4bd8-85e1-b4112c343ba4,PARTY-00029,6c75b8b3-95bf-481b-a945-08a74f65fb97,SIT-INV-001,SEG-INV-001,SUG-INV-001,STOCKS_SHARES_ISA,2,False,2,609.2,23537.03,False,False,False,,,12,,,,,,,,,,,,,,,,,,,,,,,3.06,1,0,0.97,2.0.0,1,0.97,PS25/22-§SIT-INV-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
1f569e6d-e54a-46b9-a5c3-457d8d6f7552,PARTY-00030,c6478f3f-6e4a-48ae-9f71-06bfa0f1825b,SIT-INV-002,SEG-INV-002,SUG-INV-002,STOCKS_SHARES_ISA_REGULAR,1,False,1,222.07,4662.18,False,False,False,,,28,,,,,,,,,,,,,,,,,,,,,,,2.61,0,1,0.97,2.0.0,5,0.96,PS25/22-§SIT-INV-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
7087d4d7-3b34-4c96-88ba-0bb430d95fe6,PARTY-00031,225ba653-3758-44b7-bfe1-2cddb27adb49,SIT-INV-003,SEG-INV-003,SUG-INV-003,STOCKS_SHARES_ISA_TAX_YEAR,4,False,2,615.6,3610.29,False,False,False,False,True,15,,,,,,,,,,,,,,,,,,,,,,,3.39,1,1,0.8,2.0.0,5,0.93,PS25/22-§SIT-INV-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
0e593d7f-5b73-454e-9bc5-c0b4fd1bcb6f,PARTY-00032,93a53eba-8dff-46b8-8b67-1ee634d77cd9,SIT-INV-004,SEG-INV-004,SUG-INV-004,ISA_AND_GIA_LUMP_SUM,4,False,3,1055.16,20846.2,False,False,False,,,6,21330.47,,,,,,,,,,,,,,,,,,,,,,1.95,2,0,0.84,2.0.0,6,0.97,PS25/22-§SIT-INV-004,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
81c94b27-a656-492f-9636-e5d921192594,PARTY-00033,b61885c9-affb-4e67-84ba-9a2c67f5fe9e,SIT-INV-005,SEG-INV-005,SUG-INV-005,REVIEW_PROMPT_DO_NOTHING,2,False,2,456.56,2267.52,True,False,False,,,27,,19.0,,,,,,,,,,,,,,,,,,,,,3.54,1,0,0.91,2.0.0,1,0.95,PS25/22-§SIT-INV-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
b2c87918-94af-4939-8453-2d8a09f6095e,PARTY-00034,d12f3252-1644-4c30-8d54-c93aeab84f21,SIT-INV-006,SEG-INV-006,SUG-INV-006,STOCKS_SHARES_ISA_REGULAR_ADDITION,2,False,2,622.43,500.0,False,False,False,,,15,,,165.45,6.0,,,,,,,,,,,,,,,,,,,3.33,1,1,0.52,2.0.0,5,0.92,PS25/22-§SIT-INV-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,PASS,PASS,HUMAN_REVIEW
c20df5e0-12cf-4c55-bb1b-ebbeec70caa0,PARTY-00035,8c7f0473-4242-43c1-a1be-d58f8ed76771,SIT-SD-001,SEG-SD-001,SUG-SD-001,MATURITY_REINVESTMENT_OPTIONS,4,False,3,769.86,39688.02,False,False,False,,,44,,,,,17.0,False,,,,,,,,,,,,,,,,,2.38,2,1,0.86,2.0.0,4,0.98,PS25/22-§SIT-SD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
2446c7fb-80dc-4988-992e-7053e012949c,PARTY-00036,29f7d6d2-b250-4685-8f61-d0182e7a879d,SIT-PEN-001,SEG-PEN-001,SUG-PEN-001,DC_PENSION_CONTRIBUTION_INCREASE,2,False,1,716.66,2025.65,False,False,False,,,23,,,,,,,6.3,True,True,28.0,,,,,,,,,,,,,2.51,0,0,0.95,2.0.0,5,0.97,PS25/22-§SIT-PEN-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
d16f8848-c981-4b76-8660-97c0b3e3c2c0,PARTY-00037,038f1400-812c-4d4a-8acd-40c5f4806ce1,SIT-PEN-002,SEG-PEN-002,SUG-PEN-002,DC_PENSION_FUND_SWITCH,2,False,2,363.07,0.0,False,False,False,,,60,,,,,,,7.08,True,,20.0,True,True,False,,,,,,,,,,3.22,0,0,0.77,2.0.0,2,0.88,PS25/22-§SIT-PEN-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
d9d27f9a-7bbd-484a-b776-0dfe5d9f2282,PARTY-00038,5b5e3031-4b33-4797-9cad-1cc2933250ca,SIT-PEN-003,SEG-PEN-003,SUG-PEN-003,DC_PENSION_CONTRIBUTION_REVIEW,2,False,1,654.84,7105.1,False,False,False,,,15,,,,,,,4.0,True,,18.0,,,,True,,,,,,,,,2.12,0,0,0.9,2.0.0,5,0.95,PS25/22-§SIT-PEN-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
48683f0e-bb8b-441f-b6ae-dfffead3d2b4,PARTY-00039,e903bb70-925e-4eda-9b54-9071dfd80b62,SIT-DEC-001,SEG-DEC-001,SUG-DEC-001,DECUMULATION_PATHWAY_DIRECTION,4,True,2,545.84,20300.65,False,False,False,,,35,,,,,,,9.46,True,,10.0,,,,,False,False,False,88718.5,,,,,2.15,2,1,0.9,2.0.0,3,0.94,PS25/22-§SIT-DEC-001,PASS,PASS,GATE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,HUMAN_REVIEW
d524a1dc-6827-4de2-bc4f-f1af28185df8,PARTY-00040,181aa52e-6020-4864-a2a1-cdd83334b60d,SIT-DEC-002,SEG-DEC-002,SUG-DEC-002,DC_PENSION_SMALL_POT_ACCESS,4,False,1,155.53,589.07,False,False,False,,,12,,,,,,,,True,,1.0,,,,,False,False,False,20496.6,,,,,1.77,0,1,0.88,2.0.0,5,0.99,PS25/22-§SIT-DEC-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
e7bfb26c-2397-44c8-9beb-8851c8af1576,PARTY-00041,4becc041-052d-4649-903a-5bdf011e45ec,SIT-DEC-003,SEG-DEC-003,SUG-DEC-003,ANNUITY_FEATURES_REFERRAL,4,False,3,382.34,40303.79,False,False,False,,,49,,,,,,,7.49,True,,3.0,,,,,,,False,7986.59,True,,,,1.29,1,1,0.85,2.0.0,5,1.0,PS25/22-§SIT-DEC-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
23100553-67cf-4c8a-9410-3cd2beb04ded,PARTY-00042,f01ad2bc-567e-428a-830f-54887c7b4f53,SIT-DEC-004,SEG-DEC-004,SUG-DEC-004,DRAWDOWN_REVIEW_PROMPT,4,True,3,191.89,13797.58,False,False,False,,,45,,,,,,,0.0,True,,0.0,,,,,,True,,82848.91,,20.0,True,False,1.77,1,0,0.81,2.0.0,3,0.96,PS25/22-§SIT-DEC-004,PASS,PASS,GATE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,HUMAN_REVIEW
1747a2ff-13e3-42d3-b266-4a9079adfd55,PARTY-00043,2970e76e-4b99-408a-8267-becd778bda0e,SIT-INV-001,SEG-INV-001,SUG-INV-001,STOCKS_SHARES_ISA,2,False,3,622.38,43847.94,False,False,False,,,24,,,,,,,,,,,,,,,,,,,,,,,1.62,1,1,0.93,2.0.0,3,0.98,PS25/22-§SIT-INV-001,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
470589b9-dfa2-427a-ad36-d31cdc841d91,PARTY-00044,f745a1f7-055a-49a5-8426-bdaafae0e314,SIT-INV-002,SEG-INV-002,SUG-INV-002,STOCKS_SHARES_ISA_REGULAR,1,False,1,432.32,13804.05,False,False,False,,,34,,,,,,,,,,,,,,,,,,,,,,,2.25,0,0,0.88,2.0.0,5,0.91,PS25/22-§SIT-INV-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
0e2eaa26-0120-4491-a7fa-7741edce3857,PARTY-00045,c1d39f36-d979-4a82-807a-ea7e0468c87e,SIT-INV-003,SEG-INV-003,SUG-INV-003,STOCKS_SHARES_ISA_TAX_YEAR,2,False,2,512.78,1999.89,True,False,False,False,True,6,,,,,,,,,,,,,,,,,,,,,,,1.49,2,0,0.47,2.0.0,3,1.0,PS25/22-§SIT-INV-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,GATE,PASS,PASS,PASS,HUMAN_REVIEW
d1c22447-70cd-4972-a3fb-5a228a751310,PARTY-00046,3b4edacc-9de7-49cb-b70c-11549167ed07,SIT-INV-004,SEG-INV-004,SUG-INV-004,ISA_AND_GIA_LUMP_SUM,4,False,3,686.93,11743.37,False,False,False,,,20,23853.26,,,,,,,,,,,,,,,,,,,,,,3.56,0,1,0.85,2.0.0,5,0.89,PS25/22-§SIT-INV-004,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
0f3d634a-abc0-470d-b0a0-798d6cb5b41a,PARTY-00047,031792df-c047-407b-ad9d-d606dc4bbf86,SIT-INV-005,SEG-INV-005,SUG-INV-005,REVIEW_PROMPT_DO_NOTHING,3,False,1,494.62,23465.72,True,False,False,,,37,,21.0,,,,,,,,,,,,,,,,,,,,,2.45,1,1,0.86,2.0.0,2,0.96,PS25/22-§SIT-INV-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
